prompt,completion
What are local associations  intended to implement?,0
How is the love?,0
What drugs help against high blood pressure?,1
How many problems did this series have?,0
Who needs to be screened for cervical cancer?,1
Can a brain hemorrhages be prevented?,1
Who did the Oeselian pirates atack?,0
Hoklo objected to the proposal because it would increase what tensions?,0
what is the treatment for idiopathic pulmonary fibrosis?,1
What do I need to know about Cymbalta to treat fibromyalgia?,1
Do chicken raised in the intensive broiler method suffer from health condions?,0
i have wpw syndrome and im on propranolol. i just had 5 pvc's in a row which i've never had before. their gone now but should i go to er?,1
i had a liposuction surgery 4 weeks ago. could i start my power plate sessions again?,1
Why are dogs viewed as unclean in Islam?,0
How about animation?,0
what are the symptoms of pulmonary fibrosis?,1
City University London is related to what specialized business school?,0
For which part of the Roman Catholic Church was the first Code published?,0
Do people oppose of using the new Webly Stadium?,0
hi doc. i have been having a high pulse rate and it usually remains in 90+ range. how to control it.,1
Where did Sir Henry Norman travel in 1894,0
Fox praised revolutionary principles in a debate about which country?,0
At what wavelength does the human eye become significantly less sensitive to light?,1
What computer language came about as a result of the looping problem?,0
"Generally speaking, what percentage of music on easy listening stations was instrumental?",0
Which is your forme to grasp the problems?,0
"Besides vocabulary and grammar, what other diffinence is there from other similar area languages?",0
How can pacing yourself help with rheumatoid arthritis?,1
How do you like the design?,0
A bill could not become a law without whose assent?,0
How long does it take for cluster headaches to reach their full force?,1
How can you support your lower back while in bed?,1
Is it harmful to be on a straight protein diet?,1
What is the definition of seizures?,1
will the ace weight loss pill interfere with my birth control pills?,1
How is the thing?,0
hi what type of my problem my testines bolls their giving mi pain almost 3 months but not going bigger?,1
i have body aches headache and my right breast hurts a lot especially when breadt feeding. what could it be?,1
i have a naturally slow pulse? it used to go so low it would kick in a beat?,1
What trend was Nasser trying to cause?,0
How can cardiac resynchronization by biventricular pacemaker treat dilated cardiomyopathy (DCM)?,1
How is it bag ?,0
What is biliopancreatic diversion?,1
Why does Catalan share many traits with other Romance languages?,0
Of what series in the Periodic Table of Elements is uranium a part?,0
Does God have a gender?,0
What component of wood is degraded by bacteria that scientists are still trying to learn about?,0
What is endometrial biopsy?,1
Do adolescents or adults seem to give more weight to rewards?,0
For how long was the interest rate of Sumerian loans consistent?,0
What other conditions besides multiple sclerosis can cause Lhermitte's sign?,1
England left FIFA in 1928 and ultimately rejoined in what year?,0
What can I do to lower my risk of lung cancer?,1
What conductive metal are the lands on a circuit board made out of?,0
What should you do if you find out you have hepatitis C?,1
What conditions did the African slaves in Brazil live in?,0
How many copies of the book have been sold?,0
is there any biological reason that makes it harder for a woman to lose weight after having a child?,1
I suffer from severe back pain. In which case do I need to see a doctor immediately?,1
What do you think of the place?,0
Does every character is realistic in the movie?,0
Why are scholars concerned with analysis of the Gospels over the letters?,0
What comprehensive school was established in Anglesey?,0
worms make me feel faint like i am feeling faint-like symptoms and my wife has been talking about the possibility of worms. how immediate can they affect you once its been 2 months passed. how instantly can it turn bad and should i seek er or wait until m,1
is it possible for a 13 year old to get breast cancer?,1
What trees are typically found in the dryer portions?,0
What profession does Frank Lambert have?,0
How is the food?,0
How are capacitors used for for power factor correction prepared?,0
How can a doctor tell if a mole is cancerous?,1
What do you think of the set of this movie?,0
What can I do to reduce these other triggers of irritable bowel syndrome (IBS)?,1
How are Christians referenced today in Japan?,0
I've had parasites before and I'm scared they might be back. Constant diarrhea nausea. No vomiting. Loss in appetite. Weight loss. What's going on?,1
"Aside from publically operated museums, what other type of person galleries does Seattle offer?",0
How is the transport?,0
What are the symptoms of a kidney cyst?,1
Why are LEDs preferred for machine vision systems?,0
Why was it easy for people to believe that cotton grew on sheep that grew in plants?,0
will mri of my thoracic be able to tell if it is cause of rib back and chest pain? i have ddd scoliosis osteoarthritis in area,1
How many books does this series have?,0
i had a blood transfusion in april because i went to the hospital due to a very rapid heart rate. my hemoglobin level was at a 6. 5 lately i have been feeling the symptoms all over again. im thinking my body is going through that all over again. any advic,1
How is the food?,0
what is the difference between hdl (high-density lipoprotein) and ldl (low-density lipoprotein)?,1
How is paranoid personality disorder (PPD) treated?,1
What prevented a full-scale merger of the two companies?,0
How is the quality of the film?,0
How to respond to anaphylaxis?,1
How is the capacity?,0
what are the inclusive characteristics of atrial fibrillation?,1
How is the lunch?,0
"You wrote a song that was based on an original work, what is this called?",0
Where can I find a dermatologist to treat my psoriasis?,1
"For the 2010 general election, which political party did The Times support?",0
At what university was it arranged for Von Neumann to enter a chemistry program?,0
How can zapping stress help prevent psoriasis flare-ups?,1
A book with pictures with no captions that tell a story are called what?,0
What is the definition of annulus?,1
i had a stress echo at queens ny hospital and a normal stress test at the mayo clinic. could two stress test in two years miss a blocked artery?,1
How is the staff?,0
Do CDs have a two or four channel format?,0
What threshold must a drug pass before it is approved?,1
How is hotel?,0
"Engineered wood products are often used in construction, but what other major type of applications do they have?",0
What may your doctor prescribe to treat guttate psoriasis?,1
What computer OS did iPod software exclusively work with at launch?,0
At what time of year can the fohn occur?,0
"During the speech, Truman made the statement that each man should be guaranteed what?",0
What organization joined at the universal level?,0
which kind of heart disease can stress/depression give you?,1
What is the new premise?,0
Zyprexa was owned by what company?,1
what lab work should be done to test for fabry's disease?,1
How often should you get a checkup to prevent diabetes?,1
How can staying warm help in preventing carpal tunnel syndrome?,1
how do you check if you got chest fat or manboobs?,1
what occurs in a hospital during a natural disaster?,1
What antidepressants can prevent migraines?,1
can you get lymphedema from burns?,1
Gallagher's definition upholds the centrality of what?,0
How was the staff?,0
How is the sex?,0
what can help poor circulation?,1
why does liver disease make you jaundiced?,1
What concepts are fundamental to number theory?,0
What was the first Universal film to use the three-strip Technicolor process?,0
Why are high-index glasses valued?,0
How can religion help with living with cancer?,1
What objectives does Airlift support? ,0
What conclusion does Whitehead draw about God's treatment of humans' experiences?,0
How do dogs mark their territory?,0
Adolescent immunological changes can also result in what?,0
should i be concrned if i am having pvc's (20-50)which come and go after a few days / weeks then disappear completely and then come bak? no othr sympt,1
How do you like the interaction?,0
Education about TB seems to decrease the stigma of the disease and lead to what other positive effect?,0
How clean was the staff?,0
Youtube's financial records are not reported by who?,0
What concerns are there regarding to human rights?,0
"Generally speaking, what is the earliest decade represented by the ""oldies"" on soft AC stations?",0
Can antibiotics help acne?,1
Is vitamin K important if I take the blood thinner warfarin?,1
Where is the cheapest price?,0
What are other causes of dry eyes?,1
What was the first type of government that Libya had?,0
What causes iron-deficiency anemia?,1
"What should you do to lower ""bad"" (LDL) cholesterol?",1
"Four members of the Assembly made up what Council, responsible for devising policy for Norfolk Island?",0
How is cautery used to treat bleeding under a nail?,1
How is the quality of music?,0
Why was Gödels finding ironic?,0
Why was the first boardwalk built in Atlantic City?,0
Why has Unicode been criticized for not separately encoding forms of kanji?,0
i am having bariatric surgery in 4-5 months is it okay to get a small tattoo on my wrist?,1
What profession finds evidence of infection in fossil remains to be interesting?,0
How is the series?,0
With what Belorussian city does Kathmandu have a relationship?,0
How do you know if your swollen ankles and feet are caused by venous insufficiency?,1
Can alcohol be good for your heart?,1
How is an Holter monitor used to diagnose arrhythmias?,1
Egypt was added to the Ottoman Empire in what year?,0
What oath did the Bishops have to take at the trial?,0
what is the relationship of simvastatin that dentists us it for the treatment of gum disease? !,1
What object did Duchamp select in 1914 as a scuplture by itself?,0
How can I prevent getting the flu?,1
What are other forms of inherited colorectal cancer?,1
what should the blood pressure at your ankle be?,1
im 18 and i already had my period this month but i have tender breasts what does that mean?,1
what does hardening of the arteries signal?,1
why doesn't icd (intercondylar distance) have nothing to do with teeth occlusal morphology?,1
Does the concierge service was good?,0
hi. i have a second degree burn. it's a week old by now. i've been putting neosporin on it and then covering it with telfa pads and wrapping with coban wraps. i'm just wondering if i should let it breathe at all because as soon as i take off a bandage i,1
How is the attention offered by the staff?,0
How was the rest?,0
What are good preventive measures against breast cancer?,1
Why are children from suburban communities more likely to participate in activies that benefit their identity?,0
excess skin in lower abdomen after wieght loss surgery. options besides a tummy tuck?,1
what do u drs think of 3d mammography? benefits vs risks?,1
How can I find extra interesting movies?,0
i'm on toprol (metoprolol) xl for tachycardia & high bld press. i have an epipen incase of allergic reactions. is it safe to use if i get a reaction or no?,1
what do you recommend if i have elevated troponin levels and pneumonia?,1
Who can call the people who is friendly to play?,0
what foods and lifestyle choices lead to belly fat gain?,1
How can I prevent colds if I have a weakened immune system?,1
Brazil's population is believed to have between what percentages of autosomal European ancestry?,0
Who is affected by irritable bowel syndrome?,1
Why was Howard Dean proud of his graduating class?,0
How is it staff?,0
At what time of day was an AFL game shown on Fridays on NFL Network?,0
What are the advantages of nonstimulants over stimulants for the treatment of ADHD?,1
Is insomnia tied to depression in the elderly?,1
What view did Peirce think had been driven to excess?,0
Why are groups hesitant to work with government officials ?,0
Where does the plot become fun?,0
i have a resting heart rate of 126 my pulse has been very fast for months now. bloods show high white blood count. i have a temperature feel dizzy and feeling of pressure in my head. my blood pressure is high but gp is still trying to find the correct m,1
How are alternative splicing and coding sequences distributed?,0
what are the chances of someone getting an abdominal aortic aneurysm?,1
What was the first video to reach a million views?,0
when my hands are by my side they go red/slightly purple. they go normal color if raised happens in hot or cold (not raynauds? ) pulses fine? thanks,1
What is the process by which cancers metastasize to the bones?,1
Does the product have good quality?,0
With what bill in Canada did granting assent by writing become effective?,0
What is your favorite taste?,0
How does systemic lupus erythematosus (lupus) affect the immune system?,1
my wife thinks i should see someone for my finger laceration. should i?,1
What did Edward do to marry Wallis Simpson?,0
Each Tennessee county must elect which law enforcement official?,0
What concept eventually became successful?,0
can sleep apnea in children cause developmental delays?,1
is it possible for a 21 year old to get breast cancer?,1
How is work?,0
What condition does a person have to meet to  be allowed by law on a coin?,0
How is the dish?,0
How can eating more fruits and veggies help manage knee osteoarthritis (OA)?,1
Of what philosophical system do the Upanishads form the basis?,0
"Fossils with teeth, clawed fingers and a long lizard-like tail have what type of characteristics?",0
How is the parking ?,0
When does heat help with back pain?,1
What is the outlook like for people with cirrhosis?,1
In what borough is Museum Mile located?,0
How do you prevent a baby from spitting up?,1
what are the symptoms of an aortic aneurysm in women?,1
Does drinking heavily put me at risk for lung cancer?,1
What story do I tell you?,0
shortness of breath tight discomfort left side of chest and back. now feel winded anytime i walk or anything like that?,1
Back-to-school shopping was introduced in what year of Beyonce's clothing line?,0
How is the quality of the movie?,0
How is connection?,0
What is a valid option other than surgery for treating stage zero breast cancer?,1
What's the recommended treatment plan for dissociative identity disorder?,1
i got a knife cut on my finger last nighti put two bandages on it overnight but when i went to change them this morning my cut reopened and started bleeding again what should i do?,1
what should i do when your body is producing the bad cholesterol?,1
What medicines can you use to treat baby eczema?,1
What is the definition of serotonin?,1
What are symptoms of ketoacidosis if you have diabetes?,1
Why DC system can effect the speed of trains?,0
How can you prevent laryngospasm?,1
Would linguistic differences make it difficult or easy to point out someone who moved from a different region of the Netherlands?,0
When did you get a new job?,0
What should you know before any surgery for breast cancer?,1
Can newborns get Horner's syndrome?,1
Do bacteria have membrabe-bound organelles in their cytoplasm?,0
Will eating carrots improve my vision?,1
Einstein and what other two individuals revisited the black-body problem in 1905?,0
What is considered to be neglected in American history?,0
Do all plants have male and female parts?,0
What nightclub in Southampton was nominated for the UK's best small nightclub?,0
Dog minds have been shaped by thousands of years of contact with what species?,0
What is the tv smallest?,0
What three ways does the Executive office support the U.S. military?,0
Why are the Mollusca and Annelida considered to be close relatives?,0
What is the treatment for alcohol withdrawal?,1
What composer did Kanye collaborate with for his second record?,0
What other tests might be used to diagnose juvenile arthritis?,1
How is everything like?,0
How would you describe the taste of the product?,0
what med can my mom have in place of tazloc 40 mg. she is also taking ramipril 5 mg. she has diabetes too. i heard that this is not a good combination?,1
i recently lost weight and now have excess skin around my midsection. is there any way to tighten that skin without surgery?,1
How is the set and the environment in this place?,0
How was the ambience?,0
Do X-rays help diagnose osteoarthritis?,1
what is the best treatment for s tage 2a breast cancer in a 63 yo male. no nodes were positive and pet ct scan was negative. er positive.?,1
What is the salt crunch?,0
At what location are the best known monuments in the south of India?,0
should i feel pain during the early stages of breast cancer?,1
Who can I turn to first if I have mental health problems?,1
what iscompresion stocking?,1
im dying of starvation. 6 days after my wisdom teeth surgery. i don't want s dry socket. what do i eat? !? !?,1
What complaints did Von Neumann's neighbor's have?,0
how long is the recovery from liposuction for love handles?,1
i'm 66 & got breast implants in '04. there is hardness now. should i be concerned?,1
i am experiencing chest pain or discomfort (quality: feels sharp or stabbing) (worsened by: after sudden movements after deep breaths) (better by.,1
What could happen to Olympic sports participants who showed a Tibetan flag at events?,0
How often will my child with type 1 diabetes need eye exams?,1
How do dogs establish their territory as far as scent is concerned?,0
i'm having weird food cravings i'll heat up food then not want it anymore is this a pregnancy symptom?,1
How is the refrigerator?,0
During Prohibition what name was given to Atlantic City?,0
"Besides parking requirements, what land use regulations does Houston have?",0
i don't know why im so fearful of colon cancer at my age of 22 i have a poor appetite but no other symptoms like weight loss or fever how common is the cancer in a 22 year old? is lack of appetite a symptom of colon cancer?,1
Why are the waxwing Bombycilla not migrating for?,0
How can you prevent skin problems if you have diabetes?,1
How is the packaging?,0
When should I contact my doctor about my heart disease symptoms?,1
What are often used to teach students Chinese characters?,0
What are other symptoms of venous stasis dermatitis?,1
When the setup is complete?,0
can you take adipex for weight loss and tramadol for pain due to ex broken bones together?,1
How are batteries typically grouped?,0
What means dosage form?,1
From whom is married love generated?,0
im29 weeks pregnant and failed my 1h g diabethes test. i had a cup of kefir and chicken nuggets before the test was this the cause? i am not overweight.,1
What components can be surface mounted to save space?,0
is opsoclonus-myoclonus-ataxia a genetic problem if coming from breast cancer. my gran got it after breast cancer. i have autoimmune problems and was wondering if it is a one off thing or genetic.,1
would luvox (fluvoxamine) tend to lower or raise your heart rate and blood pressure?,1
ways to help breast be a little more perky without surgery. i'm in my mid 20's and my breast just keep sagging. help.,1
Why were the first three games of the 1945 World Series played in Detroit?,0
What prevented a trench warfare stalemate?,0
Does the military still have a government presence in Burma ?,0
Do you think it's good quality?,0
What method of transportation is used to get to Oberhauser's base?,0
i have been having man boobs since i was 6 how do i get rid of them?,1
What is heart bypass surgery like?,1
What should I do if my baby has a fever?,1
post liposuction severe swelling diet i had my abs and flanks done and i am very swollen a fews days post surgery. i expected swelling but i am so much so i am worried about taking off the compression garment b/c i don't know if it will get back on. i,1
I’ve heard some foods interact with medications. Which ones do this? ,1
"Women increased their presence in the amateur performers scene with what instrument, especially?",0
i'm on plavix 75 mg. for a stroke that i had in 2012. i had a dvt in february of this year and was prescribed eliquis 5mg. to take for a blood clot t?,1
Can you cheat the amount of sleep you get?,1
why does my heart beat excessively when i eat sugary candy or food?,1
What drugs curb the immune system in order to treat psoriatic arthritis?,1
when i am stressed my bp goes higher than normal (130/90 normalized w/meds) get headache really hot to touch and red cause? hist: htn pcos,1
What happens when I get a migraine?,1
How much black cohosh should you take?,1
what can happen if don't get the shot for rabies and an animal bites you?,1
How is the quality of the bass?,0
How was the quality?,0
When should I call the doctor about poison plants?,1
What concern has caused national associations and clubs to disagree about friendlies?,0
Does at least one sure of the background of her new employee?,0
What must a Tuvaluan have to be considered for a work permit in New Zealand?,0
Boston is split between how many congressional districts?,0
How did you like the anaconda movie?,0
How do you do Kegels?,1
What flavor did the soup have?,0
How fascinating is the book?,0
At which age did Popper first attend university?,0
What other conditions are associated with avoidant personality disorder?,1
how can i appear confident in an interview when i'm self-conscious about my weight?,1
When should I get the Tdap vaccine?,1
How is the atmosphere?,0
Buddhist temples in which two cities made use of the shoen system?,0
How is smell?,0
"For sudden surges in pressure above the cab, what is used as a ""brake""?",0
How can I keep my spirits up after a heart surgery?,1
How is it steak ?,0
What was the first water supply system called?,0
In what concept is the MoD considered a leader?,0
Why are disel trains  still used on electrified routes?,0
What flavoured lollipops are available in this pack and are these ones good in every flavour?,0
What is the book about?,0
How does a doctor know if I have the flu?,1
Adding more elements to a Yagi-Uda would have what effect?,0
How is the price?,0
Which antivirals are recommended for the flu by the CDC?,1
How is a hysteroscopy done as a fertility test for women?,1
 At the time of the French Revolution what previous focus of humanism was removed?,0
How is the burger?,0
"Are any ""cancer diets"" effective?",1
Which organs can lyme disease damage?,1
what do you need to do to recover from moderate adrenal fatigue. need help gaining too much weight. what do i do to fix it.?,1
Does menopause make your breast sore?,1
Do people look forward to Cinderella matches? ,0
i used to have high metabolism but it's been a month that it become low i'm gaining weight although i workout everyday. what should i do?,1
When can you get palliative care for lung cancer?,1
i get central chest pain doing cardio including the gazelle or zumba. i stop from discomfort and fear. it is a deep pressure. can i continue safely?,1
what constitutes a low-fat snack to take with simcor (simvastatin and niacin)?,1
what is the recovery time for a ruptured aorta?,1
"Compared to other cities in Latin America, how early did Mexico City legalize same sex marriage?",0
What was the first type of connection used by the iPod to charge and transfer files?,0
pseudomonas aeruginosa treatment for open wound what to do?,1
Do you have to go to the one year of kindergarten?,0
was on 15mg lisinopril then 10mg then 5 mg daily then 2. 5mg every 12 hr. took 5mg in morning and was hypotensive 24hr later. why?,1
When can surgery help with chronic constipation?,1
Does that movie have a good screenplay?,0
Why is the system fast?,0
What are generic drugs?,1
What do you think about amenity?,0
What concerns for the religions institutions are there?,0
For bout how many years was an average of one great power fighting another each year?,0
Are mouthwashes and rinses good for teeth whitening?,1
"At one time, Priest permanently were assigned to a church were referred to as?",0
Why are Eiji Yoshikawa's books popular?,0
Can you prevent cornea problems?,1
What other types of pollution have contaminated the Hudson River watershed?,0
Is it everything on the hotel good?,0
How is the pace?,0
Zari is a type of what art that is a major Rajasthani export?,0
"""Compensation"" is the name of the system used for what type of elevators?",0
What size it has ?,0
How many people watched the Apollo 11 landing?,0
What led to bad investments by asset managers in over-priced credit assets?,0
What are the causes of rheumatoid arthritis?,1
Why couldn't differences in flora and fauna be explained by differences in regions alone?,0
What movement lead to the founding of the Republic of India?,0
what are the side effects of blood pressure meds?,1
Halo 3 was released in what year?,0
What other symptoms can develop with Crohn's?,1
Why was the spelling of McIntosh changed to Macintosh?,0
"During the 13th century, what did Southampton get in trade for English cloth and wool?",0
"For certain cases of light or atoms, what does the quantum of action yield?",0
When should you call your doctor about heart problems?,1
What concept did Ledoux address?,0
what is the easiest way to burn fat? what exercise uses the most calories?,1
Where can I locate the hotel staff?,0
What only sends the differences within those pixels and blocks?,0
Are Epsom salts the same as Dead Sea salts?,1
What types of dinners do people enjoy during the season's high point?,0
do i have to get any blood tests when i go for a mammogram?,1
Am I at a higher risk for testicular cancer if I am infertile?,1
What usually follows an initial inquiry of a candidate?,0
How is the thing with the plot?,0
endermologie for cellulite does this work?,1
Is it value for money?,0
Why would you get an EGD?,1
What are flu epidemics or pandemics?,1
my doctor suggests i have mitral valve prolapse however i live in canada and there is a significant wait for the ethno test. i have chest pain multiple times throughout the day. rapid heart beat shortness of breath. i also have the clicking in my heart,1
What kinds of emotions do some new or expecting parents feel after they learn their baby has a life-threatening disease?,1
At what level is Rajasthan ranked in India for visits by foreigners?,0
What does it mean if you have metastatic prostate cancer?,1
What causes a ruptured spleen?,1
"During his search for enlightenment, Gautama combined what teachings?",0
could beer cause one to become obese?,1
Why are some foreign characters rarely used? ,0
What else affects ADHD and substance abuse?,1
How interesting is the back story ?,0
How to stop fearing that I am going to die from recurrence of breast cancer?,1
Where is the best variety of flavors?,0
Do antibiotics increase the chance of getting fat for humans?,1
What are the risks of using nonsteroidal anti-inflammatory drugs be used for low back pain?,1
is it safe to purge for weight loss?,1
During daytime how high can the temperatures reach?,0
How do you like the lighting?,0
What borough is connected to New Jersey via the Lincoln Tunnel?,0
What led to constant problems with the Khazars?,0
what are the most effective way to reduce cellulite?,1
What is attention deficit hyperactivity disorder (ADHD)?,1
Can I have gravy or salad dressings if I have diabetes?,1
Where did Shuman build the world's first solar thermal power station?,0
how can i heal keloid from 2nd degree burn injury?,1
i am from the southern part of india. can i trust the answers for questions i asked relating to ocd pregnancy and obesity that i got from healthtap?,1
How many carbohydrates should I eat if I have HIV?,1
How is the chicken?,0
How is the plate?,0
how and where does breast cancer spread?,1
What conclusion do most of Hume's followers disagree with?,0
Does psoriasis lower my chances of getting pregnant?,1
take bp a couple of times daily and notice that pulse is only 55 bpm at times don't take meds to lower hr over weight not phys. fit concerning?,1
Feminist economists Ailsa McKay and Margunn Bjornhold believe that the financial crisis and response reveal a crisis of ideas in this?,0
What can I do to make my job easier if I have ADHD?,1
Adolescents develop a more sophisticated understanding of what mathematical concept thanks to their increased hypothetical thinking abilties?,0
Can I fully recover from a corneal abrasion?,1
How do I know if I have dermatitis?,1
How long must an hepatitic C (HCV) viral load be undetectable before someone is cured?,1
What is the quality of the microphone like on this?,0
"During 1979-2015, Legislative Assembly terms lasted no longer than how many years?",0
what does metastatic breast cancer really mean?,1
what blood tests do dr's run if they suspect preeclampsia?,1
How is the view?,0
What competition sparked the rivalry with Manchester?,0
For the existence of what did the Visistadvaita philosophy argue?,0
can the gastric sleeve be performed during the laproscopic surgery for the hiatal hernia?,1
"By 2007, Iran's crude oil exports resulted in how much of its foreign exchange currency?",0
what is the best diet for building stronger muscles?,1
what are the side effects of the blood pressure medicine loniten (minoxidil)?,1
How can DHEA supplements help with weight loss?,1
ZnO can be dissolved in what kind of solutions?,0
what are the effects of heart valve disease on the cardiovascular system and health?,1
Aspirated consonants are what in English?,0
How do you like the food?,0
"At what location was the ""Flying Chair"" installed in 1845?",0
What are the side effects of oral steroids that treat uveitis?,1
How is the quality of room service?,0
hello i have a pain between my ribs and my breast but not on my breast and it gets worse when i deep breath? any idea to what it is?,1
i have periodic pvcs my cardiologist prescribed 25mg metoprol as needed. i also peridiodically take. 25 mg xanax and just began 10 mglexapro any issues?,1
How do you know if you have colorectal cancer?,1
Edvard Grieg and Antonin Dvorak used what kind of music in their compositions?,0
is it safe to take toprol-xl while pregnant or breastfeeding?,1
Why dd the Peasants of Ukraine join the Cossacks?,0
when was the first successful heart bypass surgery performed?,1
if i wanted to get her-2 treatment (herceptin) for stage-1 breast cancer in the sf bay area without insurance where would be reasonably priced places to go? (for my mother in law who lives in china),1
How is the button?,0
How adorable son the characters in the video?,0
what are docs opinions on mesotherapy or lipodissolve?,1
Name a process that uses fossil fuels along with hydrogen.,0
Why could the Tories and the Opposition Whigs never form a single party?,0
Which women are more likely to get a prolactinoma?,1
Do antibiotics interact with birth control pills?,1
Fachhochschulen first came about in the early years of what decade?,0
Why was Frederick able to retreat successfully?,0
What is stage III pancreatic cancer?,1
What is yellow fever?,1
How can your blood sugar levels affect your diabetes treatment?,1
How is the soup?,0
How do I use a female condom?,1
how long before antibiotics should work on an infected insect bite?,1
i have a cellulitis on my leg and under the main patch is thick and the area became numb. reddish/brownish and more raised. this isn't gangrene right?,1
Why are luminescent light sources not ideal for photography?,0
Feral dogs have what Latin classification?,0
Why do mild to moderate headaches start?,1
How was it to taste?,0
can neck liposuction be done at the same time as chin augmentation? i have a weak chin and a lot of extra fat below it. is it possible to have liposuction of the neck at the same time as my chin augmentation? .,1
What component of emotion provides its perceived energy?,0
What causes eye allergies?,1
is it true that breast implants feel like rocks after 30 years?,1
Why are many plants green?,0
What conditions effect the mixture of carbonate and sulfate in copper?,0
how to rid from obesity?,1
Why are some Bermudians against the emphasis of West Indies cultural connections?,0
i was taken off my bp meds olmetec 20mg will i have any withdrawles from stoping them cold turkey?,1
Does PlayStation Network use artificial or real currency for purchases?,0
What causes direct lung injuries?,1
What profession is Ronald Lawson?,0
How about use?,0
i felt induce tachycardia and mild chest pain when im on workout after a month off with it. is it angina? or is it normal uncondition for workout?,1
How does rest prevent multiple sclerosis (MS) flare-ups?,1
why does my gerd attacks during night? mostly 7pm onwards? feeling gas trapped in ny throat weakness shortness of breath. burping will relieved symptoms,1
How are swollen glands diagnosed?,1
How can I help to manage my teenager's type 1 diabetes?,1
What describes the state of the action of the verb at the time specified by its tense?,0
explain the health risks for both anorexia and overweight. which one is worse and how do both disease affect your daily lifetsyle?,1
how i can lose weight in 3 weeks? my weight is 57 kg and i want lose 2 or 3 kg. please someone tell me!,1
How is dialogue?,0
How was the author?,0
What are scientifically proven treatments for insomnia?,1
what are the symptoms of tia?,1
is it safe to go on a low carb and low fat diet while on accutane?,1
How do I send a text message?,0
Can drugs that target your immune system help treat Crohn's disease?,1
Familiarty with the style expected for any given composer is required for what kind of performance?,0
When are ear tubes used?,1
How is the continental breakfast?,0
Baena worked for the Schwarzenegger/Shriver family for how many years?,0
What profession is more likely to want to repeal DST: farmers or shopkeepers?,0
What do the numbers mean in high blood pressure?,1
how old should a female when she should start getting mammograms to check for breast cancer?,1
How is depression and anxiety linked to migraines?,1
is the vertical sleeve gastrectomy safe and effective or too experimental?,1
laser fat reduction?,1
i had gastric bypass surgery in april 2014. i went from 262 to 152. i have reached a plateau and was wanting advice on how to overcome this plateau. ?,1
How can you prevent a root canal?,1
"Because a knot's shape is conical, what shape does a cross-section of it have?",0
How is the pool area?,0
How is ear candling done?,1
What concept does the government currently support for education?,0
What older architectural movements do the newer movements not go along with?,0
my heart rate's been fluctuating quickly 80-170bpm for a week. ekg and labs normal mitral valve prolapse on echo. burning in inner ears today. ideas?,1
Advances in what construction trade helped to increase global navigation?,0
How are the conductive plates often made for larger value capacitors?,0
What can cause corneal opacities?,1
What child is small?,0
During it's launch how much was a Windows 8 upgrade?,0
What composer did Kanye West work with for his second album?,0
i have severe pain in my back and i am starting to have spasms and often my back goes out i hunch foward also i think i need breast reduction surgery?,1
Can holistic and alternative medicine doctors help with therapy for schizophrenia?,1
What objects are notably bright in near IR?,0
How can you tell if levator syndrome is causing chronic pelvic pain?,1
What borough is home to a large Tibetan population?,0
"i'm 5'6"". how much am i supposed to weigh and what's the normal bmi for me?",1
What orbit does Triton have around Neptune? ,0
What are the symptoms of tinea versicolor?,1
side effects of low inr?,1
What room has a lovely view?,0
What problems can a flexible sigmoidoscopy cause?,1
How can you exercise to help with psoriatic arthritis?,1
i have a 17 yr old boy that has had ablation for svt 2 years ago. is it possible that it did not take? he is having fluutering shortness of breath chest pains high blood pressure fast heart rate.,1
what is the worst thing that can happen to someone with a heart murmur?,1
Diabetes is caused by the removal of what organ?,1
What compression typically operate on square-shaped groups of pixels?,0
What about bar ?,0
For what constituency was Nancy Astor elected?,0
What must always be enable in ARM-based Windows RT devices?,0
Is your bed comfortable?,0
i suffer from panic attacks with history of high heart rate. last night i had shakiness dry mouth and arm pain along with it. is that normal?,1
What are examples of steroids used to treat juvenile arthritis?,1
What race was typically ascribed the most desirable features?,0
When should you visit a doctor for eye floaters?,1
every time i seem to get a cut it takes a long time to heal and always leaves a scar i know i'm not diabetic. is it my immune system that is weak?,1
What is the benefit of fiber?,1
intermittent cardiac arrhythmia found during carotid cta 3 yrs ago no followup at that time. now feeling heart rate spikes in my chest. ask for cta?,1
How do you like the volume?,0
Beta-blockers can be used to treat what heart conditions?,1
What is the difference between tension headaches and chronic migraine headaches?,1
Gas exchange patterns can contain what kind of ventilation?,0
At what temperatures is heated asphalt seen to be a greater health risk?,1
eating less carbs can make u feel more hungry and i have heared that carbs slow down weight loss so what i do? iam 115 kg iam in a weight loss process,1
How much grape seed extract should you take?,1
i had tachyarrhythmia (tachycardia? ) during ekg today v. anxious at time of test. my dr said to cut down alcohol but i barely have 2 drinks/wk. help?,1
What  did paddle streamers serve until the 1960's,0
is dieting necessary for weight loss?,1
How can getting enough vitamin D help with depression?,1
With whom was Leo Kuper paired in research that focused on 20th century works?,0
Economist Paul Krugman explained the credit crisis via the implosion of which system?,0
What method is used that involves synchronization of a application?,0
What signs indicate I need testing for stomach cancer?,1
Do athletes use apparatuses in the international AGG competitions?,0
How did the British support Prussia?,0
Do you like his role?,0
Eugen Bohm was friends with which of Hayek's grandfathers?,0
What is a myomectomy or uterine artery embolization?,1
What is genital herpes?,1
"Before the introduction of the Latin alphabet, how was Old English written?",0
why is it important to lose weight?,1
What is a hysterectomy?,1
