,prompt,completion
102946,would luvox (fluvoxamine) tend to lower or raise your heart rate and blood pressure?,1
53629,ways to help breast be a little more perky without surgery. i'm in my mid 20's and my breast just keep sagging. help.,1
899,Why were the first three games of the 1945 World Series played in Detroit?,0
1351,What prevented a trench warfare stalemate?,0
340,Does the military still have a government presence in Burma ?,0
133,Do you think it's good quality?,0
1468,What method of transportation is used to get to Oberhauser's base?,0
68132,i have been having man boobs since i was 6 how do i get rid of them?,1
25327,What is heart bypass surgery like?,1
3838,What should I do if my baby has a fever?,1
34175,post liposuction severe swelling diet i had my abs and flanks done and i am very swollen a fews days post surgery. i expected swelling but i am so much so i am worried about taking off the compression garment b/c i don't know if it will get back on. i,1
48,I’ve heard some foods interact with medications. Which ones do this? ,1
889,"Women increased their presence in the amateur performers scene with what instrument, especially?",0
106458,i'm on plavix 75 mg. for a stroke that i had in 2012. i had a dvt in february of this year and was prescribed eliquis 5mg. to take for a blood clot t?,1
43426,Can you cheat the amount of sleep you get?,1
89686,why does my heart beat excessively when i eat sugary candy or food?,1
38652,What drugs curb the immune system in order to treat psoriatic arthritis?,1
131362,when i am stressed my bp goes higher than normal (130/90 normalized w/meds) get headache really hot to touch and red cause? hist: htn pcos,1
32097,What happens when I get a migraine?,1
15930,How much black cohosh should you take?,1
2479,what can happen if don't get the shot for rabies and an animal bites you?,1
102,How is the quality of the bass?,0
119,How was the quality?,0
2281,When should I call the doctor about poison plants?,1
1185,What concern has caused national associations and clubs to disagree about friendlies?,0
311,Does at least one sure of the background of her new employee?,0
1436,What must a Tuvaluan have to be considered for a work permit in New Zealand?,0
241,Boston is split between how many congressional districts?,0
326,How did you like the anaconda movie?,0
44682,How do you do Kegels?,1
442,What flavor did the soup have?,0
22,How fascinating is the book?,0
198,At which age did Popper first attend university?,0
31457,What other conditions are associated with avoidant personality disorder?,1
40211,how can i appear confident in an interview when i'm self-conscious about my weight?,1
1596,When should I get the Tdap vaccine?,1
476,How is the atmosphere?,0
247,Buddhist temples in which two cities made use of the shoen system?,0
508,How is smell?,0
490,"For sudden surges in pressure above the cab, what is used as a ""brake""?",0
25323,How can I keep my spirits up after a heart surgery?,1
445,How is it steak ?,0
982,What was the first water supply system called?,0
617,In what concept is the MoD considered a leader?,0
962,Why are disel trains  still used on electrified routes?,0
227,What flavoured lollipops are available in this pack and are these ones good in every flavour?,0
6,What is the book about?,0
84,How does a doctor know if I have the flu?,1
1,Adding more elements to a Yagi-Uda would have what effect?,0
168,How is the price?,0
10960,Which antivirals are recommended for the flu by the CDC?,1
28125,How is a hysteroscopy done as a fertility test for women?,1
110, At the time of the French Revolution what previous focus of humanism was removed?,0
455,How is the burger?,0
7667,"Are any ""cancer diets"" effective?",1
2764,Which organs can lyme disease damage?,1
8503,what do you need to do to recover from moderate adrenal fatigue. need help gaining too much weight. what do i do to fix it.?,1
31176,Does menopause make your breast sore?,1
321,Do people look forward to Cinderella matches? ,0
31282,i used to have high metabolism but it's been a month that it become low i'm gaining weight although i workout everyday. what should i do?,1
30088,When can you get palliative care for lung cancer?,1
97603,i get central chest pain doing cardio including the gazelle or zumba. i stop from discomfort and fear. it is a deep pressure. can i continue safely?,1
134537,what constitutes a low-fat snack to take with simcor (simvastatin and niacin)?,1
124472,what is the recovery time for a ruptured aorta?,1
818,"Compared to other cities in Latin America, how early did Mexico City legalize same sex marriage?",0
973,What was the first type of connection used by the iPod to charge and transfer files?,0
5694,pseudomonas aeruginosa treatment for open wound what to do?,1
327,Do you have to go to the one year of kindergarten?,0
112947,was on 15mg lisinopril then 10mg then 5 mg daily then 2. 5mg every 12 hr. took 5mg in morning and was hypotensive 24hr later. why?,1
16696,When can surgery help with chronic constipation?,1
377,Does that movie have a good screenplay?,0
199,Why is the system fast?,0
52,What are generic drugs?,1
520,What do you think about amenity?,0
1188,What concerns for the religions institutions are there?,0
484,For bout how many years was an average of one great power fighting another each year?,0
35293,Are mouthwashes and rinses good for teeth whitening?,1
159,"At one time, Priest permanently were assigned to a church were referred to as?",0
967,Why are Eiji Yoshikawa's books popular?,0
18801,Can you prevent cornea problems?,1
1368,What other types of pollution have contaminated the Hudson River watershed?,0
595,Is it everything on the hotel good?,0
17,How is the pace?,0
857,Zari is a type of what art that is a major Rajasthani export?,0
132,"""Compensation"" is the name of the system used for what type of elevators?",0
275,What size it has ?,0
1243,How many people watched the Apollo 11 landing?,0
1481,What led to bad investments by asset managers in over-priced credit assets?,0
40214,What are the causes of rheumatoid arthritis?,1
1308,Why couldn't differences in flora and fauna be explained by differences in regions alone?,0
1450,What movement lead to the founding of the Republic of India?,0
122346,what are the side effects of blood pressure meds?,1
746,Halo 3 was released in what year?,0
12225,What other symptoms can develop with Crohn's?,1
655,Why was the spelling of McIntosh changed to Macintosh?,0
400,"During the 13th century, what did Southampton get in trade for English cloth and wool?",0
485,"For certain cases of light or atoms, what does the quantum of action yield?",0
25476,When should you call your doctor about heart problems?,1
1155,What concept did Ledoux address?,0
20511,what is the easiest way to burn fat? what exercise uses the most calories?,1
512,Where can I locate the hotel staff?,0
1396,What only sends the differences within those pixels and blocks?,0
23638,Are Epsom salts the same as Dead Sea salts?,1
1008,What types of dinners do people enjoy during the season's high point?,0
73060,do i have to get any blood tests when i go for a mammogram?,1
7249,Am I at a higher risk for testicular cancer if I am infertile?,1
993,What usually follows an initial inquiry of a candidate?,0
57,How is the thing with the plot?,0
62348,endermologie for cellulite does this work?,1
572,Is it value for money?,0
17027,Why would you get an EGD?,1
10897,What are flu epidemics or pandemics?,1
97321,my doctor suggests i have mitral valve prolapse however i live in canada and there is a significant wait for the ethno test. i have chest pain multiple times throughout the day. rapid heart beat shortness of breath. i also have the clicking in my heart,1
37439,What kinds of emotions do some new or expecting parents feel after they learn their baby has a life-threatening disease?,1
167,At what level is Rajasthan ranked in India for visits by foreigners?,0
38337,What does it mean if you have metastatic prostate cancer?,1
17026,What causes a ruptured spleen?,1
383,"During his search for enlightenment, Gautama combined what teachings?",0
43916,could beer cause one to become obese?,1
1295,Why are some foreign characters rarely used? ,0
121,What else affects ADHD and substance abuse?,1
36,How interesting is the back story ?,0
107,How to stop fearing that I am going to die from recurrence of breast cancer?,1
432,Where is the best variety of flavors?,0
298,Do antibiotics increase the chance of getting fat for humans?,1
4293,What are the risks of using nonsteroidal anti-inflammatory drugs be used for low back pain?,1
10232,is it safe to purge for weight loss?,1
378,During daytime how high can the temperatures reach?,0
346,How do you like the lighting?,0
1216,What borough is connected to New Jersey via the Lincoln Tunnel?,0
1482,What led to constant problems with the Khazars?,0
26498,what are the most effective way to reduce cellulite?,1
353,What is attention deficit hyperactivity disorder (ADHD)?,1
14731,Can I have gravy or salad dressings if I have diabetes?,1
825,Where did Shuman build the world's first solar thermal power station?,0
3810,how can i heal keloid from 2nd degree burn injury?,1
21453,i am from the southern part of india. can i trust the answers for questions i asked relating to ocd pregnancy and obesity that i got from healthtap?,1
21952,How many carbohydrates should I eat if I have HIV?,1
441,How is the chicken?,0
408,How is the plate?,0
68339,how and where does breast cancer spread?,1
1193,What conclusion do most of Hume's followers disagree with?,0
38999,Does psoriasis lower my chances of getting pregnant?,1
36980,take bp a couple of times daily and notice that pulse is only 55 bpm at times don't take meds to lower hr over weight not phys. fit concerning?,1
468,Feminist economists Ailsa McKay and Margunn Bjornhold believe that the financial crisis and response reveal a crisis of ideas in this?,0
195,What can I do to make my job easier if I have ADHD?,1
9,Adolescents develop a more sophisticated understanding of what mathematical concept thanks to their increased hypothetical thinking abilties?,0
18631,Can I fully recover from a corneal abrasion?,1
42334,How do I know if I have dermatitis?,1
27660,How long must an hepatitic C (HCV) viral load be undetectable before someone is cured?,1
192,What is the quality of the microphone like on this?,0
369,"During 1979-2015, Legislative Assembly terms lasted no longer than how many years?",0
44401,what does metastatic breast cancer really mean?,1
111057,what blood tests do dr's run if they suspect preeclampsia?,1
537,How is the view?,0
1097,What competition sparked the rivalry with Manchester?,0
493,For the existence of what did the Visistadvaita philosophy argue?,0
42713,can the gastric sleeve be performed during the laproscopic surgery for the hiatal hernia?,1
252,"By 2007, Iran's crude oil exports resulted in how much of its foreign exchange currency?",0
23042,what is the best diet for building stronger muscles?,1
121545,what are the side effects of the blood pressure medicine loniten (minoxidil)?,1
15896,How can DHEA supplements help with weight loss?,1
873,ZnO can be dissolved in what kind of solutions?,0
122368,what are the effects of heart valve disease on the cardiovascular system and health?,1
153,Aspirated consonants are what in English?,0
409,How do you like the food?,0
172,"At what location was the ""Flying Chair"" installed in 1845?",0
20200,What are the side effects of oral steroids that treat uveitis?,1
534,How is the quality of room service?,0
70093,hello i have a pain between my ribs and my breast but not on my breast and it gets worse when i deep breath? any idea to what it is?,1
103799,i have periodic pvcs my cardiologist prescribed 25mg metoprol as needed. i also peridiodically take. 25 mg xanax and just began 10 mglexapro any issues?,1
11753,How do you know if you have colorectal cancer?,1
428,Edvard Grieg and Antonin Dvorak used what kind of music in their compositions?,0
81552,is it safe to take toprol-xl while pregnant or breastfeeding?,1
1316,Why dd the Peasants of Ukraine join the Cossacks?,0
117850,when was the first successful heart bypass surgery performed?,1
71852,if i wanted to get her-2 treatment (herceptin) for stage-1 breast cancer in the sf bay area without insurance where would be reasonably priced places to go? (for my mother in law who lives in china),1
114,How is the button?,0
392,How adorable son the characters in the video?,0
29973,what are docs opinions on mesotherapy or lipodissolve?,1
627,Name a process that uses fossil fuels along with hydrogen.,0
1306,Why could the Tories and the Opposition Whigs never form a single party?,0
8048,Which women are more likely to get a prolactinoma?,1
299,Do antibiotics interact with birth control pills?,1
716,Fachhochschulen first came about in the early years of what decade?,0
913,Why was Frederick able to retreat successfully?,0
37569,What is stage III pancreatic cancer?,1
23449,What is yellow fever?,1
13847,How can your blood sugar levels affect your diabetes treatment?,1
259,How is the soup?,0
4868,How do I use a female condom?,1
2246,how long before antibiotics should work on an infected insect bite?,1
1642,i have a cellulitis on my leg and under the main patch is thick and the area became numb. reddish/brownish and more raised. this isn't gangrene right?,1
948,Why are luminescent light sources not ideal for photography?,0
469,Feral dogs have what Latin classification?,0
33192,Why do mild to moderate headaches start?,1
210,How was it to taste?,0
42731,can neck liposuction be done at the same time as chin augmentation? i have a weak chin and a lot of extra fat below it. is it possible to have liposuction of the neck at the same time as my chin augmentation? .,1
1111,What component of emotion provides its perceived energy?,0
1871,What causes eye allergies?,1
64774,is it true that breast implants feel like rocks after 30 years?,1
950,Why are many plants green?,0
1207,What conditions effect the mixture of carbonate and sulfate in copper?,0
47532,how to rid from obesity?,1
1294,Why are some Bermudians against the emphasis of West Indies cultural connections?,0
86697,i was taken off my bp meds olmetec 20mg will i have any withdrawles from stoping them cold turkey?,1
689,Does PlayStation Network use artificial or real currency for purchases?,0
29394,What causes direct lung injuries?,1
1333,What profession is Ronald Lawson?,0
117,How about use?,0
84177,i felt induce tachycardia and mild chest pain when im on workout after a month off with it. is it angina? or is it normal uncondition for workout?,1
34450,How does rest prevent multiple sclerosis (MS) flare-ups?,1
132309,why does my gerd attacks during night? mostly 7pm onwards? feeling gas trapped in ny throat weakness shortness of breath. burping will relieved symptoms,1
23785,How are swollen glands diagnosed?,1
13673,How can I help to manage my teenager's type 1 diabetes?,1
1043,What describes the state of the action of the verb at the time specified by its tense?,0
60924,explain the health risks for both anorexia and overweight. which one is worse and how do both disease affect your daily lifetsyle?,1
45938,how i can lose weight in 3 weeks? my weight is 57 kg and i want lose 2 or 3 kg. please someone tell me!,1
353,How is dialogue?,0
97,How was the author?,0
57,What are scientifically proven treatments for insomnia?,1
123324,what are the symptoms of tia?,1
15017,is it safe to go on a low carb and low fat diet while on accutane?,1
181,How do I send a text message?,0
28250,Can drugs that target your immune system help treat Crohn's disease?,1
459,Familiarty with the style expected for any given composer is required for what kind of performance?,0
17498,When are ear tubes used?,1
549,How is the continental breakfast?,0
213,Baena worked for the Schwarzenegger/Shriver family for how many years?,0
1332,What profession is more likely to want to repeal DST: farmers or shopkeepers?,0
27976,What do the numbers mean in high blood pressure?,1
68904,how old should a female when she should start getting mammograms to check for breast cancer?,1
32720,How is depression and anxiety linked to migraines?,1
16836,is the vertical sleeve gastrectomy safe and effective or too experimental?,1
36159,laser fat reduction?,1
32127,i had gastric bypass surgery in april 2014. i went from 262 to 152. i have reached a plateau and was wanting advice on how to overcome this plateau. ?,1
35353,How can you prevent a root canal?,1
216,"Because a knot's shape is conical, what shape does a cross-section of it have?",0
548,How is the pool area?,0
17560,How is ear candling done?,1
1159,What concept does the government currently support for education?,0
1404,What older architectural movements do the newer movements not go along with?,0
98672,my heart rate's been fluctuating quickly 80-170bpm for a week. ekg and labs normal mitral valve prolapse on echo. burning in inner ears today. ideas?,1
11,Advances in what construction trade helped to increase global navigation?,0
558,How are the conductive plates often made for larger value capacitors?,0
20385,What can cause corneal opacities?,1
249,What child is small?,0
392,During it's launch how much was a Windows 8 upgrade?,0
1123,What composer did Kanye West work with for his second album?,0
74561,i have severe pain in my back and i am starting to have spasms and often my back goes out i hunch foward also i think i need breast reduction surgery?,1
76,Can holistic and alternative medicine doctors help with therapy for schizophrenia?,1
1414,What objects are notably bright in near IR?,0
45718,How can you tell if levator syndrome is causing chronic pelvic pain?,1
1217,What borough is home to a large Tibetan population?,0
18777,"i'm 5'6"". how much am i supposed to weigh and what's the normal bmi for me?",1
1383,What orbit does Triton have around Neptune? ,0
42951,What are the symptoms of tinea versicolor?,1
136632,side effects of low inr?,1
559,What room has a lovely view?,0
11795,What problems can a flexible sigmoidoscopy cause?,1
39733,How can you exercise to help with psoriatic arthritis?,1
82141,i have a 17 yr old boy that has had ablation for svt 2 years ago. is it possible that it did not take? he is having fluutering shortness of breath chest pains high blood pressure fast heart rate.,1
134458,what is the worst thing that can happen to someone with a heart murmur?,1
284,Diabetes is caused by the removal of what organ?,1
1138,What compression typically operate on square-shaped groups of pixels?,0
200,What about bar ?,0
495,For what constituency was Nancy Astor elected?,0
1439,What must always be enable in ARM-based Windows RT devices?,0
563,Is your bed comfortable?,0
92256,i suffer from panic attacks with history of high heart rate. last night i had shakiness dry mouth and arm pain along with it. is that normal?,1
40895,What are examples of steroids used to treat juvenile arthritis?,1
1319,What race was typically ascribed the most desirable features?,0
19763,When should you visit a doctor for eye floaters?,1
7641,every time i seem to get a cut it takes a long time to heal and always leaves a scar i know i'm not diabetic. is it my immune system that is weak?,1
10143,What is the benefit of fiber?,1
105372,intermittent cardiac arrhythmia found during carotid cta 3 yrs ago no followup at that time. now feeling heart rate spikes in my chest. ask for cta?,1
161,How do you like the volume?,0
63,Beta-blockers can be used to treat what heart conditions?,1
33147,What is the difference between tension headaches and chronic migraine headaches?,1
535,Gas exchange patterns can contain what kind of ventilation?,0
183,At what temperatures is heated asphalt seen to be a greater health risk?,1
62419,eating less carbs can make u feel more hungry and i have heared that carbs slow down weight loss so what i do? iam 115 kg iam in a weight loss process,1
15894,How much grape seed extract should you take?,1
95454,i had tachyarrhythmia (tachycardia? ) during ekg today v. anxious at time of test. my dr said to cut down alcohol but i barely have 2 drinks/wk. help?,1
1230,What  did paddle streamers serve until the 1960's,0
22229,is dieting necessary for weight loss?,1
12891,How can getting enough vitamin D help with depression?,1
881,With whom was Leo Kuper paired in research that focused on 20th century works?,0
424,Economist Paul Krugman explained the credit crisis via the implosion of which system?,0
1457,What method is used that involves synchronization of a application?,0
7879,What signs indicate I need testing for stomach cancer?,1
304,Do athletes use apparatuses in the international AGG competitions?,0
778,How did the British support Prussia?,0
35,Do you like his role?,0
451,Eugen Bohm was friends with which of Hayek's grandfathers?,0
45692,What is a myomectomy or uterine artery embolization?,1
88,What is genital herpes?,1
226,"Before the introduction of the Latin alphabet, how was Old English written?",0
15809,why is it important to lose weight?,1
46062,What is a hysterectomy?,1
559,How are the different cells formed?,0
24530,Can you get tea tree oil naturally from foods?,1
279,Computer programs that are long lists of numbers are called what?,0
238,How delicious is the taste of coffee?,0
1113,What component of the printed circuit board is appraised with boundary scan testing?,0
668,WWhat's the first thing to happen when the switch is activated?,0
135353,should i go to er? i have had back pain chest pain and slight shortness of breath for well over a week now. in the past couple of days my upper left abdomen has swollen is extremely painful and very tender to the touch. my left side and my back also,1
128,How fast was the delivery?,0
212,Bad Company's self titled debut album was released in what year?,0
93941,have had radioactive iodine for modular hyperthyroid 10months ago. last labs show low hypo now. having hand tremors and fast heart rate hypo related?,1
34657,What lifestyle changes can I implement to treat multiple sclerosis?,1
22368,What are the benefits of Kegel exercises for new moms and how is it done?,1
40722,Can I use my hands if I am using gloves to help rheumatoid arthritis?,1
334,"Does having unprotected sex, multiple sexual partners, and poor communication increase or decrease individual and social risk?",1
639,What was the grand strategy of prime minister William Pitt?,0
1128,What compound made the diphtheria vaccine safer to use?,0
65770,i finished my treatment for breast cancer and had a bilateral mastectomy in february. i just found a lump on my rib cage on the same side as the cancer. could it be cancer?,1
1477,What led the National Hockey League to cancel the 2004-2005 season?,0
396,"During Richard's rule, what did John successfully do?",0
11995,What are some tricks to help get the solution down in preparation for a colonoscopy?,1
1462,What method of execution did the Nebraska Supreme Court rule unconstitutional?,0
285,Devotion is an important part of the practice of most what?,0
177,At what milestone was the archive made public?,0
47,How good it's the write?,0
84639,i have atrial fibrillation. i take daily concor 10mg dabigatran 220mg lasix 40mg and aldactone (spironolactone) 25mg . now i have erectile problem. what shall i do?,1
58717,after eating mcdonalds i have severe lower abdominal pain. i figured it was gas and i have had a bowel movement but it hurts to stand/move. help!,1
875,With whom does UNFPA work in partnership?,0
125112,why does my month old sound like she's having trouble breathing sounds like she's snorting?,1
714,"Eye gaze, vocalization and body posture are examples of what?",0
1293,Why are sodas and high sugar fruit juices not recommended?,1
117110,what happens in the heart of chf patients?,1
25600,i have very high cholesterol. meds cause pain in all my muscles. i watch my diet and exercise? what else can i do. i also use coq10.,1
435,How is portion?,0
96910,what are restrictions of having pacemaker?,1
1346,What presidential powers were included in 2007 law changes?,0
133501,what happens if the lungs & heart have fluid around them is it able to recover completely?,1
472,Few AA guns are able to fire which way?,0
879,With whom was it said the the movement ended?,0
486,For how long was he exiled this time?,0
533,Garuda is the national symbol of which 2 countries?,0
277,How is the texture?,0
1010,What types of doctrines do denominations not agree on?,0
838,Who did the Numidians form an alliance with?,0
26253,What are types of heart pump drugs?,1
5558,How can you select the right treatment for acoustic neuroma?,1
514,How is decor?,0
17160,i am currently 18 years old and of a medium/heavy build. my height is 5 foot 6 inches abd i weigh around 133lbs. is this overweight?,1
1177,What conception of right and wrong did Climacus believe Hegel endorsed?,0
1302,Why are the tops of glaciers rigid?,0
16789,What tests are used to diagnose appendicitis?,1
204,Athens allied with what region to eliminate Macedonian rule?,0
2826,What does Lyme disease do to the body? Is it common?,1
6183,How often should you get a mammogram?,1
461,What are the menu options?,0
48791,how can i decrease chubby cheeks?,1
57876,why do my breast implants have symmastia?,1
545,How are chatter marks formed?,0
49,What vaccinations are important for seniors? ,1
543,How are antennas oriented when arranged with specific spacing?,0
270,Cities in what geographic part of Libya were controlled by rebels?,0
55451,can stevia cause blabber problems? any answers appreciated!,1
11592,Is there a specific flu vaccine for older adults?,1
670,Xinhua and CCTV focused on people who what?,0
75285,do montgomery glands (bumps on areola) fall off? mine fell and bled i'm scared?,1
120878,what are the final symptoms of copd-emphysema?,1
914,Why was Frederick's defeat of Daun so costly?,0
431,Edwin Hubble's discovery about galaxies allowed for which theory by Georges Lemaitre?,0
217,How much fiber do you have?,0
1076,What could public rites and magic easily become in some circumstances?,0
31003,How does a penile clamp help male incontinence?,1
265,Where can I buy protein?,0
1182,What concern did Hills raise about police models?,0
27577,What is hepatitis B (HBV)?,1
17613,what can be done to reduce/eliminate snoring without using a mask at night?,1
35399,What is an oral cavity in relation to dental health?,1
11959,How is a brachytherapy done to treat colon cancer with liver metastasis?,1
613,In what borough is Pennsylvania Station located?,0
88912,what is a good pulse rate at rest after exercise?,1
522,FST values as low as what amount have been found in some studies?,0
572,How do charges accumulate on each plate of a capacitor after an electric field has developed across the dielectric?,0
120961,what can cause restenosis after angioplasty?,1
21572,What is the joint capsule and join architecture in the ankle?,1
14939,What are the symptoms of kidney problems caused by diabetes?,1
45029,What are the side effects of taking fiber?,1
39853,How can fish help treat rheumatoid arthritis (RA) inflammation?,1
49292,does my hiatal hernia increases my chances of dangerous bacterial infections?,1
13786,What is the best way to make sure shoes fit properly?,1
325,How would you rate the video  of the song by Jimmy Gait?,0
129942,what does skin look like in early scleroderma? i have raynauds acid reflux & spider veins on chest chin. skin has slightly dark patch all over body.,1
1370,What other types of wave besides light has its own intensity?,0
102112,my ecg said ant/septal and later st t changed are abnormal what does this mean?,1
156,"Aspiration is what, in English and some other languages?",0
310,How were the stunts?,0
464,Do you want some dinner?,0
1131,What compression algorithms provide higher compression at the cost of fidelity?,0
437,How would you rate the dessert served in the hotel?,0
444,Why is the menu so creative?,0
24186,What are signs of low iron relative to a ferritin blood test?,1
3734,What sleep milestones should you expect in your 3-month-old?,1
557,How are the Canadian forces ranked in size compared to other military?,0
129, With what feature of environment do plants need to be in sync?,0
443,Is it a good seat?,0
16766,What does dairy allergy involve?,1
20852,i feel dull restless and lazy all times of day. plz advice a good diet plan.,1
16967,How is chronic pancreatitis treated?,1
66023,im 19 suffer sever left breast pain with a large vain that goes through boob and branch vains to nipple i hve been referd to breast clinic what mean?,1
95830,i want to know if protein supplements can damage my liver if my ldh levels are higher than normal? or if i have tachicardia thanks.,1
321,How is the show?,0
97647,i have a defibrillator implanted over my left breast. it has hurt ever since placed. i hurt severely at times. the ep doc says it os nerves around the device. the otc meds do not work. what can i do?,1
635,Of what see was Berkeley bishop?,0
304,How is the scenery?,0
504,For whom are the Marshall Islands named?,0
213,How is the taste?,0
32305,What is hemicrania continua?,1
5959,Why is soy necessary after breast cancer surgery?,1
284,How was the taste of this?,0
53,What causes PTSD?,1
808,Bribes can be direct or what?,0
131663,wondering if it's necessary that arteriosclerosis always lead to attack?,1
1114,"What component of the Super Slim did CNET call ""the easiest yet""?",0
22940,Is painful sex during pregnancy normal?,1
49464,how can i loose my waist fat?,1
1079,What could Sumerian gods be associated with?,0
872,Zn(OH)2 is dissolved to form what in strong alkaline solutions?,0
349,Drug reps have been accused of giving what to health professionals?,1
126950,what is a normal blood pressure for a female adult?,1
8302,Can chemotherapy cause side effects?,1
598,How long does Aruba's biggest celebration last?,0
1341,What problem arises for fast and large capacity elevators?,0
104383,what does it mean when the ecg says left axis deviation and t wave abnormality?,1
648,Why have Eritrean government officials participated in numerous meetings with NGO representatives?,0
736,"Generally, what types of teams call Nanjing home?",0
38240,Why is hormone treatment used for prostate cancer?,1
2831,What antibiotics might my doctor use to treat Lyme disease?,1
39207,How are retinoids used to treat moderate to severe psoriasis?,1
753,Hard disk drives are what type of peripheral device?,0
82490,i am on the beta-blocker pindolol and was wondering if i do drink what effects would it cause?,1
1027,What thus is the level of economic incentive and benefit?,0
367,How is the documentary?,0
37,Can ADHD medicine lead to changes in growth?,1
854,Youtube offers users the option to watch content where?,0
812,Can bacteria survive inside rocks under the sea level?,0
27639,How do you get hepatitis C?,1
109080,what doctor should i see seen a lung and heart and gastro for breathless and heart beat feels like it's weak no strength when working out or running over 8 months headaches everyday. ticking feeling and hearing in throat lump feeling. feels cancer?,1
129999,what can i do if my uncle just had a heart attack now hes in a coma for 2 days already when will he wake up?,1
10,Adult Top 40 represented a midpoint between what two radio formats?,0
999,"What types of control are considered when labeling a country with the perjorative ""51st state"" label?",0
1042,What describes the space-and-time dependence of a slowly changing wave function of quantum systems?,0
450,How is the sandwich?,0
558,How is the bathroom?,0
671,Would a lower GAI mean higher apparent saturation or vividness of object colors?,0
776,How did the British invaders respond to the arrival of French relief forces?,0
4744,my dr. prescribed me systemic vibramycin (doxycycline) for a mild cellulitis in my upper eyelid dt. mosquito bite. is this effective? !,1
2226,how often should a normal healthy person get a tetanus shot?,1
1165,"What concept is based on adherence to Masonic Landmarks, basic membership requirements, and tenets and rituals of the craft?",0
188,What is the quality of the pair?,0
41858,What is chlamydia?,1
568,How do cancer patients usually control their background pain?,1
1384,"What orchestra with a name that starts with ""B"" has played at the Guildhall?",0
398,What do you think about the concept of the film?,0
115503,which is higher: diastolic or systolic pressure?,1
1428,What Nigerian state is trying to make Sharia law part of its constitution?,0
412,Each cardinal priest has what?,0
19051,What's a good diet for healthy eyes?,1
96191,i take seroquel (quetiapine) 400mg and have experienced that my heart is pounding really hard should i get a ekg. could it be dangerous?,1
47924,how long will you have to stay on a low carb diet before you begin to lose weight?,1
83190,i have had ringing and my heart beat in my ears for over 2 months now how can i make it stop. side effect of meds? venlafaxine trazodone ambilify,1
38174,Will my bladder ever get back to normal after prostate cancer treatment?,1
176,At what meeting did Truman tell Eisenhower that he would assist him in running for president?,0
33710,When should people with multiple sclerosis take Tysabri?,1
288,How is the taste?,0
1337,What prize do Armenians receive from the government if they win a gold medal?,0
45456,How many undershirts should you get for your baby before it is born?,1
155,Aspiration and preaspiration are used in what?,0
360,"Due to Victorias mourning over Alberts death, what political party gained strength?",0
609,In what borough is Fort Hamilton located?,0
28902,How can surgery treat kidney stones?,1
187,How did you like to zoom?,0
106051,"symptoms are fast heartbeat (90-95) low pressure (60-95) ache 2"" above belly button (felt when pushed) slight fever (99. 4) fatigue dysponea.",1
336,How was animation quality on this film?,0
593,How is the kitchen?,0
33208,What happens during a CT scan?,1
988,What view towards cognitive development during adolescence did Piaget take?,0
47493,how to burn the calories gaines from a medium sized burger i ate with extra cheese. is this okay to have it four times in a month.,1
417,What rating would you give dinner without having tried it?,0
482,"For boards with two sides, to what angle are leads bent to in order to install them horizontally?",0
30767,How is squamous cell carcinoma  treated?,1
51074,what are the ethical concerns of breast implants?,1
18857,is it true that endocrine disorders are associated with obesity?,1
23046,What does it mean to have protein in urine (proteinuria)?,1
16329,What are proton-pump inhibitors (PPIs)?,1
114, Governments created universities to serve as what?,0
349,How fun  is the story?,0
71181,how do i know if one of my saline breast implants popped? i have had them for 7 years. if it did pop could it cause my period to not start?,1
22217,How is a hair transplant done?,1
261,Chemicals called neurotransmitters are released at what part of the brain?,1
289,How is the chocolate?,0
130466,what is the difference between a trivial and a small pericardial effusion?,1
1392,What online publication ran a feature from a Comcast employee in 2014 that received attention?,0
52957,how to get rid of my lower belly fat?,1
124,How do you get so high?,0
35636,What are options for teeth whitening?,1
128032,what can i do to prevent stroke?,1
35435,What are symptoms of gum disease in pregnancy?,1
61556,to begin with i only had 7 lumps had mammogram fibercystic they say but now i have found more but i have no insurance and the pain is getting worse?,1
211,How much does a plate of noodles cost?,0
12820,Why is depression common among the elderly?,1
32,How do you like the end?,0
188,At what time in the middle of the night was the diplomat summoned?,0
217,"Because all five were in the top ten of Billboard's charts, this made Idol what?",0
510,"Outside of medication, how can I treat adult ADHD?",1
42013,When should I call my doctor about shingles?,1
553,What is experience?,0
164,At what age did Harper Lee's mother die?,0
183,How describe the camera?,0
511,How was the size of the bathroom?,0
66835,i have a red spongy like lump on my breast going in for mammogram on april 2nd any idea what it could be?,1
17470,i have slightly chubby cheeks. is there a simple way to get rid of the fat?,1
36216,What is spondylitis?,1
99950,is it normal to have sinus tachycardia after food? i feel dizzy and weak every time after eating.,1
18997,What will happen after a surgery for retinal detachment?,1
675,What is considered to be a problem with the Kinsey scale?,0
35210,What is halitosis?,1
42475,can taking paxil (paroxetine) make you gain weight?,1
103304,palpitations/fever from std?,1
130443,what should i do if i drank some alcohol and my chest hurts?,1
39567,How can mental health medicines cause your psoriasis to be worse?,1
799,"Besides busses, what kinds of public transportation are offered in Cork?",0
350,Is it each one perfect?,0
1395,What online source called the 360 the 6th greatest console of all time in 2009?,0
32465,Is a migraine without aura life-threatening?,1
597,How long does a wrestler have to leave the ring once they are tagged out?,0
2,Where is the place none can be there ?,0
5708,What causes a subdural hematoma?,1
356,Where can I select the right movie?,0
